Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1414|2|33968|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1415|2|29585|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1418|2|26298|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1419|2|25568|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1420|2|23376|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1421|2|32507|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1423|2|33968|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1429|2|32872|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1432|2|28490|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1437|2|22280|n/a|n/a|n/a|
