"o","l","source","analysis"
1.46,0.223980615587276,"mean","original"
1.47,0.222387617762806,"mean","original"
1.48,0.220806359546201,"mean","original"
1.49,0.219236720748252,"mean","original"
1.5,0.217678591797673,"mean","original"
1.51,0.216131872835511,"mean","original"
1.52,0.214596472861904,"mean","original"
1.53,0.213072308933328,"mean","original"
1.54,0.211559305408528,"mean","original"
1.55,0.210057393241109,"mean","original"
1.56,0.208566509317082,"mean","original"
1.57,0.207086595835288,"mean","original"
1.58,0.205617599729002,"mean","original"
1.59,0.204159472126702,"mean","original"
1.6,0.202712167850311,"mean","original"
1.61,0.201275644949019,"mean","original"
1.62,0.199849864267018,"mean","original"
1.63,0.198434789043331,"mean","original"
1.64,0.197030384542191,"mean","original"
1.65,0.195636617712251,"mean","original"
1.66,0.194253456873082,"mean","original"
1.67,0.19288087142751,"mean","original"
1.68,0.191518831598206,"mean","original"
1.69,0.190167308187219,"mean","original"
1.7,0.18882627235706,"mean","original"
1.71,0.187495695432017,"mean","original"
1.72,0.186175548718498,"mean","original"
1.73,0.184865803343174,"mean","original"
1.74,0.183566430107781,"mean","original"
1.75,0.182277399359508,"mean","original"
1.76,0.180998680875949,"mean","original"
1.77,0.179730243763562,"mean","original"
1.78,0.178472056368808,"mean","original"
1.79,0.177224086200955,"mean","original"
1.8,0.17598629986581,"mean","original"
1.81,0.174758663009511,"mean","original"
1.82,0.17354114027163,"mean","original"
1.83,0.172333695246929,"mean","original"
1.84,0.171136290454995,"mean","original"
1.85,0.16994888731721,"mean","original"
1.86,0.168771446140403,"mean","original"
1.87,0.167603926106619,"mean","original"
1.88,0.166446285268541,"mean","original"
1.89,0.165298480549946,"mean","original"
1.9,0.16416046775084,"mean","original"
1.91,0.163032201556801,"mean","original"
1.92,0.161913635552066,"mean","original"
1.93,0.160804722236078,"mean","original"
1.94,0.15970541304305,"mean","original"
1.95,0.158615658364231,"mean","original"
1.96,0.157535407572631,"mean","original"
1.97,0.156464609049818,"mean","original"
1.98,0.155403210214567,"mean","original"
1.99,0.154351157553144,"mean","original"
2,0.153308396650912,"mean","original"
2.01,0.152274872225132,"mean","original"
2.02,0.151250528158712,"mean","original"
2.03,0.150235307534714,"mean","original"
2.04,0.149229152671519,"mean","original"
2.05,0.148232005158382,"mean","original"
2.06,0.147243805891384,"mean","original"
2.07,0.14626449510949,"mean","original"
2.08,0.14529401243074,"mean","original"
2.09,0.144332296888364,"mean","original"
2.1,0.143379286966789,"mean","original"
2.11,0.142434920637388,"mean","original"
2.12,0.141499135393965,"mean","original"
2.13,0.140571868287834,"mean","original"
2.14,0.139653055962477,"mean","original"
2.15,0.138742634687696,"mean","original"
2.16,0.137840540393215,"mean","original"
2.17,0.136946708701693,"mean","original"
2.18,0.136061074961117,"mean","original"
2.19,0.135183574276503,"mean","original"
2.2,0.134314141540916,"mean","original"
2.21,0.133452711465773,"mean","original"
2.22,0.132599218610392,"mean","original"
2.23,0.131753597410787,"mean","original"
2.24,0.130915782207695,"mean","original"
2.25,0.1300857072738,"mean","original"
2.26,0.129263306840194,"mean","original"
2.27,0.128448515122012,"mean","original"
2.28,0.1276412663433,"mean","original"
2.29,0.126841494761029,"mean","original"
2.3,0.126049134688387,"mean","original"
2.31,0.125264120517199,"mean","original"
2.32,0.124486386739607,"mean","original"
2.33,0.123715867968957,"mean","original"
2.34,0.122952498959889,"mean","original"
2.35,0.122196214627679,"mean","original"
2.36,0.121446950066842,"mean","original"
2.37,0.120704640568933,"mean","original"
2.38,0.119969221639678,"mean","original"
2.39,0.119240629015348,"mean","original"
2.4,0.11851879867843,"mean","original"
2.41,0.117803666872613,"mean","original"
2.42,0.117095170117089,"mean","original"
2.43,0.116393245220186,"mean","original"
2.44,0.115697829292364,"mean","original"
2.45,0.115008859758554,"mean","original"
2.46,0.114326274369912,"mean","original"
2.47,0.113650011214926,"mean","original"
2.48,0.112980008729973,"mean","original"
2.49,0.112316205709296,"mean","original"
2.5,0.111658541314396,"mean","original"
2.51,0.111006955082926,"mean","original"
2.52,0.110361386937033,"mean","original"
2.53,0.109721777191189,"mean","original"
2.54,0.109088066559553,"mean","original"
2.55,0.108460196162826,"mean","original"
2.56,0.107838107534649,"mean","original"
2.57,0.107221742627572,"mean","original"
2.58,0.106611043818558,"mean","original"
2.59,0.106005953914091,"mean","original"
2.6,0.105406416154875,"mean","original"
2.61,0.104812374220124,"mean","original"
2.62,0.104223772231495,"mean","original"
2.63,0.103640554756653,"mean","original"
2.64,0.103062666812472,"mean","original"
2.65,0.102490053867908,"mean","original"
2.66,0.101922661846552,"mean","original"
2.67,0.101360437128855,"mean","original"
2.68,0.100803326554061,"mean","original"
2.69,0.10025127742185,"mean","original"
2.7,0.0997042374937018,"mean","original"
2.71,0.0991621549939903,"mean","original"
2.72,0.0986249786108244,"mean","original"
2.73,0.0980926574966443,"mean","original"
2.74,0.0975651412685888,"mean","original"
2.75,0.0970423800086108,"mean","original"
2.76,0.0965243242634118,"mean","original"
2.77,0.0960109250441549,"mean","original"
2.78,0.0955021338259741,"mean","original"
2.79,0.0949979025473062,"mean","original"
2.8,0.0944981836090371,"mean","original"
2.81,0.0940029298734852,"mean","original"
2.82,0.0935120946632093,"mean","original"
2.83,0.0930256317596719,"mean","original"
2.84,0.0925434954017458,"mean","original"
2.85,0.0920656402840935,"mean","original"
2.86,0.0915920215554024,"mean","original"
2.87,0.0911225948164936,"mean","original"
2.88,0.0906573161183187,"mean","original"
2.89,0.0901961419598356,"mean","original"
2.9,0.0897390292857783,"mean","original"
2.91,0.0892859354843401,"mean","original"
2.92,0.0888368183847279,"mean","original"
2.93,0.0883916362546658,"mean","original"
2.94,0.087950347797789,"mean","original"
2.95,0.0875129121509579,"mean","original"
2.96,0.0870792888815212,"mean","original"
2.97,0.0866494379844758,"mean","original"
2.98,0.0862233198795869,"mean","original"
2.99,0.0858008954084442,"mean","original"
3,0.0853821258314414,"mean","original"
3.01,0.0849669728247369,"mean","original"
3.02,0.0845553984771323,"mean","original"
3.03,0.0841473652869349,"mean","original"
3.04,0.0837428361587526,"mean","original"
3.05,0.0833417744002725,"mean","original"
3.06,0.0829441437189998,"mean","original"
3.07,0.082549908218959,"mean","original"
3.08,0.0821590323973674,"mean","original"
3.09,0.0817714811412963,"mean","original"
3.1,0.0813872197242993,"mean","original"
3.11,0.0810062138030153,"mean","original"
3.12,0.0806284294137724,"mean","original"
3.13,0.0802538329691619,"mean","original"
3.14,0.079882391254609,"mean","original"
3.15,0.0795140714249268,"mean","original"
3.16,0.0791488410008679,"mean","original"
3.17,0.0787866678656702,"mean","original"
3.18,0.078427520261595,"mean","original"
3.19,0.0780713667864659,"mean","original"
3.2,0.0777181763902152,"mean","original"
3.21,0.0773679183714114,"mean","original"
3.22,0.0770205623738126,"mean","original"
3.23,0.0766760783829143,"mean","original"
3.24,0.0763344367225056,"mean","original"
3.25,0.0759956080512234,"mean","original"
3.26,0.0756595633591405,"mean","original"
3.27,0.0753262739643301,"mean","original"
3.28,0.0749957115094728,"mean","original"
3.29,0.0746678479584569,"mean","original"
3.3,0.074342655593005,"mean","original"
3.31,0.0740201070092986,"mean","original"
3.32,0.0737001751146369,"mean","original"
3.33,0.0733828331241043,"mean","original"
3.34,0.0730680545572468,"mean","original"
3.35,0.0727558132347867,"mean","original"
3.36,0.072446083275331,"mean","original"
3.37,0.0721388390921258,"mean","original"
3.38,0.0718340553898098,"mean","original"
3.39,0.0715317071611994,"mean","original"
3.4,0.0712317696840888,"mean","original"
3.41,0.0709342185180847,"mean","original"
3.42,0.0706390295014493,"mean","original"
3.43,0.0703461787479712,"mean","original"
3.44,0.0700556426438583,"mean","original"
3.45,0.0697673978446689,"mean","original"
3.46,0.0694814212722412,"mean","original"
3.47,0.0691976901116639,"mean","original"
3.48,0.0689161818082742,"mean","original"
3.49,0.0686368740646738,"mean","original"
3.5,0.0683597448377647,"mean","original"
3.51,0.0680847723358251,"mean","original"
3.52,0.0678119350156018,"mean","original"
3.53,0.0675412115794286,"mean","original"
3.54,0.0672725809723767,"mean","original"
3.55,0.0670060223794213,"mean","original"
3.56,0.0667415152226452,"mean","original"
3.57,0.0664790391584621,"mean","original"
3.58,0.0662185740748714,"mean","original"
3.59,0.0659601000887296,"mean","original"
3.6,0.065703597543065,"mean","original"
3.61,0.0654490470043981,"mean","original"
3.62,0.065196429260114,"mean","original"
3.63,0.0649457253158388,"mean","original"
3.64,0.0646969163928469,"mean","original"
3.65,0.064449983925509,"mean","original"
3.66,0.0642049095587548,"mean","original"
3.67,0.063961675145558,"mean","original"
3.68,0.0637202627444636,"mean","original"
3.69,0.0634806546171266,"mean","original"
3.7,0.0632428332258805,"mean","original"
3.71,0.0630067812313417,"mean","original"
3.72,0.062772481490025,"mean","original"
3.73,0.0625399170519976,"mean","original"
3.74,0.0623090711585524,"mean","original"
3.75,0.0620799272399057,"mean","original"
3.76,0.0618524689129267,"mean","original"
3.77,0.0616266799788878,"mean","original"
3.78,0.0614025444212448,"mean","original"
3.79,0.0611800464034324,"mean","original"
3.8,0.0609591702666984,"mean","original"
3.81,0.0607399005279502,"mean","original"
3.82,0.0605222218776327,"mean","original"
3.83,0.0603061191776353,"mean","original"
3.84,0.0600915774592064,"mean","original"
3.85,0.0598785819209129,"mean","original"
3.86,0.0596671179266093,"mean","original"
3.87,0.0594571710034384,"mean","original"
3.88,0.059248726839844,"mean","original"
3.89,0.0590417712836266,"mean","original"
3.9,0.0588362903400027,"mean","original"
3.91,0.0586322701697,"mean","original"
3.92,0.0584296970870655,"mean","original"
3.93,0.0582285575582094,"mean","original"
3.94,0.0580288381991566,"mean","original"
3.95,0.0578305257740276,"mean","original"
3.96,0.0576336071932474,"mean","original"
3.97,0.0574380695117624,"mean","original"
3.98,0.0572438999272911,"mean","original"
3.99,0.0570510857785894,"mean","original"
4,0.0568596145437383,"mean","original"
4.01,0.0566694738384556,"mean","original"
4.02,0.0564806514144213,"mean","original"
4.03,0.0562931351576376,"mean","original"
4.04,0.0561069130867868,"mean","original"
4.05,0.0559219733516357,"mean","original"
4.06,0.0557383042314341,"mean","original"
4.07,0.0555558941333551,"mean","original"
4.08,0.0553747315909416,"mean","original"
4.09,0.0551948052625734,"mean","original"
4.1,0.0550161039299569,"mean","original"
4.11,0.0548386164966346,"mean","original"
4.12,0.054662331986509,"mean","original"
4.13,0.0544872395423857,"mean","original"
4.14,0.0543133284245399,"mean","original"
4.15,0.05414058800929,"mean","original"
4.16,0.0539690077876045,"mean","original"
4.17,0.0537985773637099,"mean","original"
4.18,0.0536292864537294,"mean","original"
4.19,0.053461124884332,"mean","original"
4.2,0.0532940825913966,"mean","original"
4.21,0.0531281496187041,"mean","original"
4.22,0.052963316116629,"mean","original"
4.23,0.0527995723408654,"mean","original"
4.24,0.0526369086511511,"mean","original"
4.25,0.0524753155100278,"mean","original"
4.26,0.0523147834815983,"mean","original"
4.27,0.0521553032303121,"mean","original"
4.28,0.0519968655197594,"mean","original"
4.29,0.0518394612114853,"mean","original"
4.3,0.0516830812638127,"mean","original"
4.31,0.0515277167306886,"mean","original"
4.32,0.0513733587605365,"mean","original"
4.33,0.0512199985951346,"mean","original"
4.34,0.05106762756849,"mean","original"
4.35,0.0509162371057482,"mean","original"
4.36,0.0507658187221036,"mean","original"
4.37,0.0506163640217216,"mean","original"
4.38,0.0504678646966878,"mean","original"
4.39,0.0503203125259611,"mean","original"
4.4,0.0501736993743348,"mean","original"
4.41,0.050028017191424,"mean","original"
4.42,0.0498832580106596,"mean","original"
4.43,0.0497394139482922,"mean","original"
4.44,0.049596477202413,"mean","original"
4.45,0.0494544400519838,"mean","original"
4.46,0.0493132948558855,"mean","original"
4.47,0.0491730340519713,"mean","original"
4.48,0.0490336501561374,"mean","original"
4.49,0.0488951357613983,"mean","original"
4.5,0.0487574835369869,"mean","original"
4.51,0.0486206862274515,"mean","original"
4.52,0.0484847366517735,"mean","original"
4.53,0.0483496277024942,"mean","original"
4.54,0.0482153523448523,"mean","original"
4.55,0.0480819036159288,"mean","original"
4.56,0.0479492746238112,"mean","original"
4.57,0.0478174585467628,"mean","original"
4.58,0.0476864486323988,"mean","original"
4.59,0.0475562381968828,"mean","original"
4.6,0.047426820624124,"mean","original"
4.61,0.0472981893649908,"mean","original"
4.62,0.0471703379365328,"mean","original"
4.63,0.0470432599212091,"mean","original"
4.64,0.0469169489661318,"mean","original"
4.65,0.0467913987823172,"mean","original"
4.66,0.0466666031439432,"mean","original"
4.67,0.0465425558876214,"mean","original"
4.68,0.0464192509116768,"mean","original"
4.69,0.0462966821754314,"mean","original"
4.7,0.0461748436985053,"mean","original"
4.71,0.0460537295601206,"mean","original"
4.72,0.0459333338984186,"mean","original"
4.73,0.0458136509097786,"mean","original"
4.74,0.0456946748481536,"mean","original"
4.75,0.045576400024411,"mean","original"
4.76,0.0454588208056762,"mean","original"
4.77,0.0453419316146951,"mean","original"
4.78,0.0452257269291968,"mean","original"
4.79,0.0451102012812668,"mean","original"
4.8,0.0449953492567266,"mean","original"
4.81,0.0448811654945241,"mean","original"
4.82,0.0447676446861295,"mean","original"
4.83,0.044654781574938,"mean","original"
